Source,Target,Type,Weight
380,1,directed,1
381,1,directed,1
382,1,directed,1
383,1,directed,1
384,1,directed,1
385,1,directed,1
386,1,directed,1
387,1,directed,1
388,1,directed,1
389,1,directed,1
390,1,directed,1
391,1,directed,1
392,1,directed,1
393,1,directed,1
394,1,directed,1
395,1,directed,1
396,1,directed,1
397,1,directed,1
398,1,directed,1
399,1,directed,1
400,1,directed,1
401,1,directed,1
402,1,directed,1
403,1,directed,1
404,1,directed,1
405,1,directed,1
406,1,directed,1
407,1,directed,1
408,1,directed,1
409,1,directed,1
410,1,directed,1
411,1,directed,1
412,1,directed,1
413,1,directed,1
414,1,directed,1
415,1,directed,1
416,1,directed,1
417,1,directed,1
418,1,directed,1
419,1,directed,1
420,1,directed,1
421,1,directed,1
422,1,directed,1
423,1,directed,1
424,1,directed,1
425,1,directed,1
426,1,directed,1
427,1,directed,1
428,1,directed,1
429,1,directed,1
430,1,directed,1
431,1,directed,1
432,1,directed,1
433,1,directed,1
434,1,directed,1
435,1,directed,1
436,1,directed,1
437,1,directed,1
438,1,directed,1
439,1,directed,1
440,1,directed,1
441,1,directed,1
442,1,directed,1
443,1,directed,1
444,1,directed,1
445,1,directed,1
446,1,directed,1
447,1,directed,1
448,1,directed,1
449,1,directed,1
450,1,directed,1
451,1,directed,1
452,1,directed,1
453,1,directed,1
454,1,directed,1
455,1,directed,1
456,1,directed,1
457,1,directed,1
458,1,directed,1
459,1,directed,1
460,1,directed,1
461,1,directed,1
462,1,directed,1
463,1,directed,1
464,1,directed,1
465,1,directed,1
466,1,directed,1
467,1,directed,1
468,1,directed,1
469,1,directed,1
470,1,directed,1
471,1,directed,1
472,1,directed,1
473,1,directed,1
474,1,directed,1
475,1,directed,1
476,1,directed,1
477,1,directed,1
478,1,directed,1
479,1,directed,1
480,1,directed,1
481,1,directed,1
482,1,directed,1
483,1,directed,1
484,1,directed,1
485,1,directed,1
486,1,directed,1
487,1,directed,1
488,1,directed,1
489,1,directed,1
490,1,directed,1
491,1,directed,1
492,1,directed,1
493,1,directed,1
494,1,directed,1
495,1,directed,1
496,1,directed,1
497,1,directed,1
498,1,directed,1
499,1,directed,1
500,1,directed,1
501,1,directed,1
502,1,directed,1
503,1,directed,1
504,1,directed,1
505,1,directed,1
506,1,directed,1
507,1,directed,1
508,1,directed,1
509,1,directed,1
510,1,directed,1
511,1,directed,1
512,1,directed,1
513,1,directed,1
514,1,directed,1
515,1,directed,1
516,1,directed,1
517,1,directed,1
518,1,directed,1
519,1,directed,1
520,1,directed,1
521,1,directed,1
522,1,directed,1
523,1,directed,1
524,1,directed,1
525,1,directed,1
526,1,directed,1
527,1,directed,1
528,1,directed,1
529,1,directed,1
530,1,directed,1
531,1,directed,1
532,1,directed,1
533,1,directed,1
534,1,directed,1
535,1,directed,1
536,1,directed,1
537,1,directed,1
538,1,directed,1
539,1,directed,1
540,1,directed,1
541,1,directed,1
542,1,directed,1
543,1,directed,1
544,1,directed,1
545,1,directed,1
546,1,directed,1
547,1,directed,1
548,1,directed,1
549,1,directed,1
550,1,directed,1
551,1,directed,1
552,1,directed,1
553,1,directed,1
554,1,directed,1
555,1,directed,1
556,1,directed,1
557,1,directed,1
558,1,directed,1
559,1,directed,1
560,1,directed,1
561,1,directed,1
562,1,directed,1
563,1,directed,1
564,1,directed,1
565,1,directed,1
566,1,directed,1
567,1,directed,1
568,1,directed,1
569,1,directed,1
570,1,directed,1
571,1,directed,1
572,1,directed,1
573,1,directed,1
574,1,directed,1
575,1,directed,1
576,1,directed,1
577,1,directed,1
578,1,directed,1
579,1,directed,1
580,1,directed,1
581,1,directed,1
582,1,directed,1
583,1,directed,1
584,1,directed,1
585,1,directed,1
586,1,directed,1
587,1,directed,1
588,1,directed,1
589,1,directed,1
590,1,directed,1
591,1,directed,1
592,1,directed,1
593,1,directed,1
594,1,directed,1
595,1,directed,1
596,1,directed,1
597,1,directed,1
598,1,directed,1
599,1,directed,1
600,1,directed,1
601,1,directed,1
602,1,directed,1
603,1,directed,1
604,1,directed,1
605,1,directed,1
606,1,directed,1
607,1,directed,1
608,1,directed,1
609,1,directed,1
610,1,directed,1
611,1,directed,1
612,1,directed,1
613,1,directed,1
614,1,directed,1
615,1,directed,1
616,1,directed,1
617,1,directed,1
618,1,directed,1
619,1,directed,1
620,1,directed,1
621,1,directed,1
622,1,directed,1
623,1,directed,1
624,1,directed,1
625,1,directed,1
626,1,directed,1
627,1,directed,1
628,1,directed,1
629,1,directed,1
630,1,directed,1
631,1,directed,1
632,1,directed,1
633,1,directed,1
634,1,directed,1
635,1,directed,1
636,1,directed,1
637,1,directed,1
638,1,directed,1
639,1,directed,1
640,1,directed,1
641,1,directed,1
642,1,directed,1
643,1,directed,1
644,1,directed,1
645,1,directed,1
646,1,directed,1
647,1,directed,1
648,1,directed,1
649,1,directed,1
650,1,directed,1
651,1,directed,1
652,1,directed,1
653,1,directed,1
654,1,directed,1
655,1,directed,1
656,1,directed,1
657,1,directed,1
658,1,directed,1
659,1,directed,1
660,1,directed,1
661,1,directed,1
662,1,directed,1
663,1,directed,1
664,1,directed,1
665,1,directed,1
666,1,directed,1
667,1,directed,1
668,1,directed,1
669,1,directed,1
670,1,directed,1
671,1,directed,1
672,1,directed,1
673,1,directed,1
674,1,directed,1
675,1,directed,1
676,1,directed,1
677,1,directed,1
678,1,directed,1
679,1,directed,1
680,1,directed,1
681,1,directed,1
682,1,directed,1
683,1,directed,1
684,1,directed,1
685,1,directed,1
686,1,directed,1
687,1,directed,1
688,1,directed,1
689,1,directed,1
690,1,directed,1
691,1,directed,1
692,1,directed,1
693,1,directed,1
694,1,directed,1
695,1,directed,1
696,1,directed,1
697,1,directed,1
698,1,directed,1
699,1,directed,1
700,1,directed,1
701,1,directed,1
702,1,directed,1
703,1,directed,1
704,1,directed,1
705,1,directed,1
706,1,directed,1
707,1,directed,1
708,1,directed,1
709,1,directed,1
710,1,directed,1
711,1,directed,1
712,1,directed,1
713,1,directed,1
714,1,directed,1
715,1,directed,1
716,1,directed,1
717,1,directed,1
718,1,directed,1
719,1,directed,1
720,1,directed,1
721,1,directed,1
722,1,directed,1
723,1,directed,1
724,1,directed,1
725,1,directed,1
726,1,directed,1
727,1,directed,1
728,1,directed,1
729,1,directed,1
730,1,directed,1
731,1,directed,1
732,1,directed,1
733,1,directed,1
734,1,directed,1
735,1,directed,1
736,1,directed,1
737,1,directed,1
738,1,directed,1
739,1,directed,1
740,1,directed,1
741,1,directed,1
742,1,directed,1
743,1,directed,1
744,1,directed,1
745,1,directed,1
746,1,directed,1
747,1,directed,1
748,1,directed,1
749,1,directed,1
750,1,directed,1
751,1,directed,1
752,1,directed,1
753,1,directed,1
754,1,directed,1
755,1,directed,1
756,1,directed,1
757,1,directed,1
758,1,directed,1
759,1,directed,1
760,1,directed,1
761,1,directed,1
762,1,directed,1
763,1,directed,1
764,1,directed,1
765,1,directed,1
766,1,directed,1
767,1,directed,1
768,1,directed,1
769,1,directed,1
770,1,directed,1
771,1,directed,1
772,1,directed,1
773,1,directed,1
774,1,directed,1
775,1,directed,1
776,1,directed,1
777,1,directed,1
778,1,directed,1
779,1,directed,1
780,1,directed,1
781,1,directed,1
782,1,directed,1
783,1,directed,1
784,1,directed,1
785,1,directed,1
786,1,directed,1
787,1,directed,1
788,1,directed,1
789,1,directed,1
790,1,directed,1
791,1,directed,1
792,1,directed,1
793,1,directed,1
794,1,directed,1
795,1,directed,1
796,1,directed,1
797,1,directed,1
798,1,directed,1
799,1,directed,1
800,1,directed,1
801,1,directed,1
802,1,directed,1
803,1,directed,1
804,1,directed,1
805,1,directed,1
806,1,directed,1
807,1,directed,1
808,1,directed,1
809,1,directed,1
810,1,directed,1
811,1,directed,1
812,1,directed,1
813,1,directed,1
814,1,directed,1
815,1,directed,1
816,1,directed,1
817,1,directed,1
818,1,directed,1
819,1,directed,1
820,1,directed,1
821,1,directed,1
822,1,directed,1
823,1,directed,1
824,1,directed,1
825,1,directed,1
826,1,directed,1
827,1,directed,1
828,1,directed,1
829,1,directed,1
830,1,directed,1
831,1,directed,1
832,1,directed,1
833,1,directed,1
834,1,directed,1
835,1,directed,1
836,1,directed,1
837,1,directed,1
838,1,directed,1
839,1,directed,1
840,1,directed,1
841,1,directed,1
842,1,directed,1
843,1,directed,1
844,1,directed,1
845,1,directed,1
846,1,directed,1
847,1,directed,1
848,1,directed,1
849,1,directed,1
850,1,directed,1
851,1,directed,1
852,1,directed,1
853,1,directed,1
854,1,directed,1
2,1,directed,1
855,1,directed,1
856,1,directed,1
857,1,directed,1
858,1,directed,1
859,1,directed,1
860,1,directed,1
861,1,directed,1
862,1,directed,1
863,1,directed,1
864,1,directed,1
865,1,directed,1
866,1,directed,1
867,1,directed,1
868,1,directed,1
869,1,directed,1
870,1,directed,1
871,1,directed,1
872,1,directed,1
873,1,directed,1
874,1,directed,1
875,1,directed,1
876,1,directed,1
877,1,directed,1
878,1,directed,1
879,1,directed,1
880,1,directed,1
881,1,directed,1
882,1,directed,1
883,1,directed,1
884,1,directed,1
885,1,directed,1
886,1,directed,1
887,1,directed,1
888,1,directed,1
889,1,directed,1
890,1,directed,1
891,1,directed,1
892,1,directed,1
17,1,directed,1
893,1,directed,1
894,1,directed,1
895,1,directed,1
896,1,directed,1
897,1,directed,1
898,1,directed,1
899,1,directed,1
900,1,directed,1
901,1,directed,1
902,1,directed,1
903,1,directed,1
904,1,directed,1
905,1,directed,1
906,1,directed,1
907,1,directed,1
908,1,directed,1
909,1,directed,1
910,1,directed,1
911,1,directed,1
912,1,directed,1
913,1,directed,1
914,1,directed,1
915,1,directed,1
916,1,directed,1
917,1,directed,1
918,1,directed,1
919,1,directed,1
920,1,directed,1
921,1,directed,1
922,1,directed,1
923,1,directed,1
924,1,directed,1
925,1,directed,1
926,1,directed,1
927,1,directed,1
928,1,directed,1
929,1,directed,1
930,1,directed,1
931,1,directed,1
932,1,directed,1
933,1,directed,1
934,1,directed,1
935,1,directed,1
936,1,directed,1
937,1,directed,1
938,1,directed,1
939,1,directed,1
940,1,directed,1
941,1,directed,1
942,1,directed,1
943,1,directed,1
944,1,directed,1
945,1,directed,1
946,1,directed,1
947,1,directed,1
948,1,directed,1
949,1,directed,1
950,1,directed,1
951,1,directed,1
952,1,directed,1
953,1,directed,1
954,1,directed,1
955,1,directed,1
956,1,directed,1
957,1,directed,1
958,1,directed,1
959,1,directed,1
960,1,directed,1
961,1,directed,1
962,1,directed,1
963,1,directed,1
964,1,directed,1
965,1,directed,1
966,1,directed,1
967,1,directed,1
968,1,directed,1
969,1,directed,1
970,1,directed,1
971,1,directed,1
972,1,directed,1
973,1,directed,1
974,1,directed,1
975,1,directed,1
976,1,directed,1
977,1,directed,1
978,1,directed,1
979,1,directed,1
980,1,directed,1
981,1,directed,1
982,1,directed,1
983,1,directed,1
984,1,directed,1
985,1,directed,1
986,1,directed,1
987,1,directed,1
988,1,directed,1
989,1,directed,1
990,1,directed,1
991,1,directed,1
992,1,directed,1
993,1,directed,1
994,1,directed,1
995,1,directed,1
996,1,directed,1
997,1,directed,1
998,1,directed,1
999,1,directed,1
1000,1,directed,1
1001,1,directed,1
1002,1,directed,1
1003,1,directed,1
1004,1,directed,1
1005,1,directed,1
1006,1,directed,1
1007,1,directed,1
1008,1,directed,1
1009,1,directed,1
1010,1,directed,1
1011,1,directed,1
1012,1,directed,1
1013,1,directed,1
1014,1,directed,1
1015,1,directed,1
1016,1,directed,1
1017,1,directed,1
1018,1,directed,1
1019,1,directed,1
1020,1,directed,1
1021,1,directed,1
1022,1,directed,1
1023,1,directed,1
1024,1,directed,1
1025,1,directed,1
1026,1,directed,1
1027,1,directed,1
1028,1,directed,1
1029,1,directed,1
1030,1,directed,1
1031,1,directed,1
1032,1,directed,1
1033,1,directed,1
1034,1,directed,1
1035,1,directed,1
1036,1,directed,1
1037,1,directed,1
1038,1,directed,1
1039,1,directed,1
1040,1,directed,1
1041,1,directed,1
1042,1,directed,1
1043,1,directed,1
1044,1,directed,1
1045,1,directed,1
1046,1,directed,1
1047,1,directed,1
1048,1,directed,1
1049,1,directed,1
1050,1,directed,1
1051,1,directed,1
1052,1,directed,1
1053,1,directed,1
1054,1,directed,1
1055,1,directed,1
1056,1,directed,1
1057,1,directed,1
1058,1,directed,1
1059,1,directed,1
1060,1,directed,1
1061,1,directed,1
1062,1,directed,1
1063,1,directed,1
1064,1,directed,1
1065,1,directed,1
1066,1,directed,1
1067,1,directed,1
1068,1,directed,1
1069,1,directed,1
1070,1,directed,1
1071,1,directed,1
1072,1,directed,1
1073,1,directed,1
1074,1,directed,1
1075,1,directed,1
