postUrl,description,commentCount,likeCount,pubDate,likedByViewer,isSidecar,type,profileUrl,username,fullName,imgUrl,postId,timestamp,query,videoUrl,viewCount,taggedFullName1,taggedUsername1,location,locationId,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10
https://www.instagram.com/p/Cbwu4mjlNt4/,"SMU SCIS alumnus Quan Heng Lim discussed the cyber security trends in Southeast Asia and his role in educating the next generation of cyber security professionals.

📽 https://bit.ly/38hoTUP

#ComputingAtSMU #DigitalTransformation #Cybersecurity #SMUSCIS #SgSMUSCIS",0,3,2022-03-31T08:26:20.000Z,false,false,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277605133_382296073688650_8702028846941157579_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=a0PtMiefZ8kAX9-ft3S&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwNTk0ODc2NzY4MTE3NDM5Mg%3D%3D.2-ccb7-4&oh=00_AT--l6z9OCwCb01pkn86aG_I4mLAzJI-l0k1f5YeZg425A&oe=624ECE04&_nc_sid=83d603,2805948767681174392_2835646362,2022-04-01T17:20:31.590Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CbuAnmklF2f/,"Have you ever wondered how a website like YouTube knows what you want and like? E-commerce websites use a recommender system that employs artificial intelligence and data science. It is a data filtering tool using machine learning algorithms to recommend the most relevant items to a particular user to increase user engagement and drive purchases.

This is an area of research that SMU SCIS Associate Professor Hady W. Lauw is working on. Learn more at smu.sg/predicted-recommendations

#ComputingAtSMU #DigitalTransformation #ArtificialIntelligence #ComputerScience #DataScience #RecommenderSystems #MachineLearning #Algorithm #SMUSCIS #SgSMUSCIS",0,3,2022-03-30T07:03:35.000Z,false,false,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277615851_1133558997489465_4584659867854965744_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=VYZoRFaPs6cAX9DELX1&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwNTE4MjMzOTM3Mzg4Mjc4Mw%3D%3D.2-ccb7-4&oh=00_AT_faSPxU8Ty43yaelIc9UONxHfTOjIaWIIXzYbcIdPRXQ&oe=624E5D1D&_nc_sid=83d603,2805182339373882783_2835646362,2022-04-01T17:20:31.780Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277036680_1372402143223868_8214633624696426415_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=EKmI5Cn7QlwAX_lMAWg&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDY4NDk3MDg4OA%3D%3D.2-ccb7-4&oh=00_AT-C34alo7acCcXoKRBNbKbdk4GCeu79ycmfmQ0qrXFNuw&oe=624D6EED&_nc_sid=83d603,2800675764684970888_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277031140_1062729310950991_626060443929951501_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=FXRxghzUzRUAX9hrcDQ&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDYwMDk4ODQ5Mg%3D%3D.2-ccb7-4&oh=00_AT97UBY_hwi1WPu1K6y3kkj19UQLONphqIY54N_-1APIOQ&oe=624D7B4E&_nc_sid=83d603,2800675764600988492_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277237423_362694089203358_9194445265993490176_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=-xg0GE5EpdsAX8cblAw&tn=rxxjSRly3HHsQ1Jp&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDU3NTc2MzA5OA%3D%3D.2-ccb7-4&oh=00_AT-yBU5jd3lihUEZ0uOekc1KeBSYWkFD2XBSnK5S9fTnFA&oe=624DB990&_nc_sid=83d603,2800675764575763098_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/276985127_552279712740703_6413599197121797567_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=_NmL057QlLMAX8Af94I&tn=rxxjSRly3HHsQ1Jp&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDY5MzE1OTU5OQ%3D%3D.2-ccb7-4&oh=00_AT8m3gML-XQPIt0NOj1vp15adH0jA-iQuIPAaJfQBJqIFA&oe=624E3DEF&_nc_sid=83d603,2800675764693159599_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277078337_686421542399471_1162359534635250621_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=RS0GOwLKmokAX_OAfbT&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDU5MjQ1NDQ5NQ%3D%3D.2-ccb7-4&oh=00_AT_JhdAngxntljfYMw1wucYfspJSAoF5Y_BogBTG8f_Qlg&oe=624D72E5&_nc_sid=83d603,2800675764592454495_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/Cbd_8YRln_a/,"Over the past weekend, Whitehat Society (@smuwhitehats) organised its annual flagship event, Whitehacks 2022 held across a span of 2 days from 19 - 20 March! For this year's iteration, we had over 350 students from various Junior Colleges and High Schools joining us to explore and learn more about cybersecurity.

Day 1 commenced with an Opening Address from the Dean of SMU School of Computing and Information Systems, Dr. Pang Hwee Hwa. Following which, students got to learn more about various opportunities and interact with various industry professionals from Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore and Cyber Security Agency of Singapore (CSA) through Zoom sharing sessions and Discord villages.

The highlight of the event, an 8-hour Capture-the-Flag competition was held on Day 2. It began with a flurry of challenges being first blooded by various teams within the first hour alone! The competition remained very intense throughout the entire duration and we were heartened to see all the participating teams giving it their all as they battled for the top prizes.

We would also like to express our heartfelt thanks to our sponsors, Centre for Strategic Infocomm Technologies (CSIT), GovTech Singapore, Cyber Security Agency of Singapore (CSA) and Mandiant for supporting us in this event. We would also like to thank Kenneth T. from Alt Tab Labs for helping us to manage the CTF infrastructure throughout the entire duration of the competition.

Thank you everyone and we look forward to seeing you again next year!

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SGSMUSCIS",0,22,2022-03-24T01:49:50.000Z,false,true,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/277081747_549586476310100_7108287843549685236_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=ut0_fxRbDWcAX_2PCFE&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=MjgwMDY3NTc2NDYwOTMwMzM3MA%3D%3D.2-ccb7-4&oh=00_AT_Fl1pDZ_27rQ5ydVtV9-ZbsapTaOrNvZtEwpYUJQmEUw&oe=624D4486&_nc_sid=83d603,2800675764609303370_2835646362,2022-04-01T17:20:32.081Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CbMF-iOFcPn/,"Reposted @smu.libraries ••••• How much do you know about plastic pollution? Test your knowledge in Shore Seekers World game. 🔗https://shoreseekers.world/smu/

You may stand to win SGD 25 Scoop Wholefoods gift vouchers or a set of artist-made recycled plastic coasters. 

#SMULibraries #LoveLifeLoveEarth",0,3,2022-03-17T02:56:14.000Z,false,false,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275864508_525038429042257_6769843033851287231_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=uRIfJzGgnPsAX9ZIX1O&tn=rxxjSRly3HHsQ1Jp&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc5NTYzNTc1NjI3Mzg3Nzk5MQ%3D%3D.2-ccb7-4&oh=00_AT_n_qE1VKKsij9HIO30Fcoh9A15VnFn8S_k6rLGMCsAQw&oe=624DE56C&_nc_sid=83d603,2795635756273877991_2835646362,2022-04-01T17:20:32.337Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CbJwTOPFui1/,"Since 2011, SMU’s Dato’ Kho Hui Meng Career Centre annually selects three undergrads to receive the Ruth Chiang Outstanding Intern of the Year Award, as a tribute to undergrads who have gone above and beyond in their internships, exhibited exceptional work ethic, and upheld the University’s CIRCLE values, all while carrying the SMU brand with pride during their work stints.

Read the full story to find out how winner Daniel Lim Wai Kiat, first runner-up Giles Chang Chee Song – both from SCIS – and second runner-up Tan Zhi Hui from SMU School of Social Sciences, raised the bar with their tenacity and adaptability as they refused to let Covid-19 dampen their internship experience.

🔗 smu.sg/interns-shine-from-home

#ComputingAtSMU #DigitalTransformation #SMUSCIS #SgSMUSCIS",2,3,2022-03-16T05:08:20.000Z,false,false,Photo,https://www.instagram.com/sgsmuscis,sgsmuscis,SMU SCIS,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/275800256_3186486098342360_7261995358755753680_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=4eX6yRMshooAX9bdRc6&tn=rxxjSRly3HHsQ1Jp&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc5NDk3NzQ3MDk0ODIzOTU0MQ%3D%3D.2-ccb7-4&oh=00_AT9OBulIuAqVYNUM2HrCtJ5qAw9ozjFW1ZJDLpGakcLmsA&oe=624E825F&_nc_sid=83d603,2794977470948239541_2835646362,2022-04-01T17:20:32.650Z,https://www.instagram.com/sgsmuscis,,,,,,,,,,,,,,,,,,,,,,,,
